Date,CPI,Inflation,Year
1872.12,12.93980661,0.022554609961837672,1872
1873.12,12.17864628,-0.05882316119096923,1873
1874.12,11.51265124,-0.0546854736304896,1874
1875.12,10.9417405,-0.049589857983051384,1875
1876.12,10.75149091,-0.017387507042412542,1876
1877.12,9.514585124,-0.11504504783141742,1877
1878.12,8.18251405,-0.14000306441527613,1878
1879.12,9.704834711,0.18604559084136252,1879
1880.12,9.514585124,-0.01960358858913494,1880
1881.12,10.18058017,0.06999727653075132,1881
1882.12,9.990330579,-0.01868749990895662,1882
1883.12,9.229089256,-0.07619781117154964,1883
1884.12,8.277679339,-0.1030881694400637,1884
1885.12,8.18251405,-0.01149661458274091,1885
1886.12,7.801941983,-0.04651040800840423,1886
1887.12,8.277679339,0.0609767871943429,1887
1888.12,8.277679339,0.0,1888
1889.12,7.801941983,-0.05747231035618649,1889
1890.12,7.897091074,0.012195565053844951,1890
1891.12,7.51650281,-0.048193475348540724,1891
1892.12,7.611651901,0.012658691602351663,1892
1893.12,7.040773554,-0.07500058521133884,1893
1894.12,6.565052397,-0.06756660377604876,1894
1895.12,6.755342479,0.02898531047321977,1895
1896.12,6.660193388,-0.014085013645982547,1896
1897.12,6.660193388,0.0,1897
1898.12,6.755342479,0.01428623546749189,1898
1899.12,7.897091074,0.16901416894099708,1899
1900.12,7.611651901,-0.03614485008787177,1900
1901.12,7.992232066,0.04999968074604146,1901
1902.12,8.563094215,0.07142712377290972,1902
1903.12,8.087381157,-0.055553874108577726,1903
1904.12,8.467928926,0.04705451141876995,1904
1905.12,8.467928926,0.0,1905
1906.12,8.94367438,0.05618203201248719,1906
1907.12,8.753424793,-0.021271971554044717,1907
1908.12,9.038839669,0.0326060807911712,1908
1909.12,9.990330579,0.10526693080565144,1909
1910.12,9.229089256,-0.07619781117154964,1910
1911.12,9.038839669,-0.020614123639157086,1911
1912.12,9.704834711,0.07368147532078993,1912
1913.12,10.0,0.0304142520495937,1913
1914.12,10.1,0.009999999999999964,1914
1915.12,10.3,0.01980198019801991,1915
1916.12,11.6,0.1262135922330096,1916
1917.12,13.7,0.18103448275862066,1917
1918.12,16.5,0.20437956204379568,1918
1919.12,18.9,0.14545454545454536,1919
1920.12,19.4,0.026455026455026457,1920
1921.12,17.3,-0.10824742268041226,1921
1922.12,16.9,-0.023121387283237118,1922
1923.12,17.3,0.023668639053254566,1923
1924.12,17.3,0.0,1924
1925.12,17.9,0.03468208092485537,1925
1926.12,17.7,-0.01117318435754186,1926
1927.12,17.3,-0.022598870056497095,1927
1928.12,17.1,-0.011560693641618455,1928
1929.12,17.2,0.005847953216374144,1929
1930.12,16.1,-0.0639534883720929,1930
1931.12,14.6,-0.09316770186335414,1931
1932.12,13.1,-0.10273972602739727,1932
1933.12,13.2,0.007633587786259515,1933
1934.12,13.4,0.015151515151515233,1934
1935.12,13.8,0.029850746268656744,1935
1936.12,14.0,0.014492753623188354,1936
1937.12,14.4,0.0285714285714286,1937
1938.12,14.0,-0.0277777777777778,1938
1939.12,14.0,0.0,1939
1940.12,14.1,0.0071428571428571175,1940
1941.12,15.5,0.099290780141844,1941
1942.12,16.9,0.0903225806451612,1942
1943.12,17.4,0.02958579881656805,1943
1944.12,17.8,0.02298850574712656,1944
1945.12,18.2,0.02247191011235947,1945
1946.12,21.5,0.18131868131868137,1946
1947.12,23.4,0.08837209302325574,1947
1948.12,24.1,0.029914529914530037,1948
1949.12,23.6,-0.02074688796680498,1949
1950.12,25.0,0.059322033898305024,1950
1951.12,26.5,0.06,1951
1952.12,26.7,0.007547169811320728,1952
1953.12,26.9,0.007490636704119823,1953
1954.12,26.7,-0.007434944237918189,1954
1955.12,26.8,0.0037453183520599785,1955
